cat1A (FEEDBACK),cat1B,cat1C,cat2A(SERVICE REQUEST),cat2B,cat2C,cat3A(COMPLAINTS),cat3B,cat3C
Pathetic,enjoyed,funny,available,payment,set,stop,time,old
Poor,good,interesting,service,points,credit,stopped,amount,number
Good,terrible,weak,transfer,use,limit,working,directly,credit
Good Quality,bad,worst,funds,booking,close,app,refund,installation
Quality,best,terrible,like,apply,account,refund,not proper,problem
Best,oriented,paid,e payment,coupon,procedure,money,proper,card
Delivery,essential,service,bill,carry,,deducted,delay,blacklisted
improved,loved,bad,pay,forward,,please,original,again
not good,loved it,worthless,wallet,points,,fast,different,
Satisfied,best game,,,,,,,
great deal,amazing,,,,,,,
deal,,,,,,,,
great,,,,,,,,
